,week,home,away,goal1,goal2,result,home_form,away_form,home_rank,away_rank
307,31,KONYASPOR,ALANYASPOR,1,0,1,1.2,1.4,12,5
308,31,DENİZLİSPOR,BAŞAKŞEHİR,0,0,0,1.5,1,20,18
309,31,BEŞİKTAŞ,FENERBAHÇE,1,1,0,3,1.4,1,3
310,32,KAYSERİSPOR,GÖZTEPE,1,1,0,1.5,1.4,16,10
311,32,SİVASSPOR,TRABZONSPOR,0,0,0,1.8,1.4,9,4
312,32,RİZESPOR,KARAGÜMRÜK,0,0,0,1.75,1.4,13,8
313,32,HATAYSPOR,GALATASARAY,3,0,1,1,1.4,7,2
314,32,ERZURUMSPOR,KONYASPOR,1,2,2,0.4,1.2,19,12
315,32,ANKARAGÜCÜ,ANTALYASPOR,1,0,1,1.8,1.2,18,11
316,32,ALANYASPOR,GENÇLERBİRLİĞİ,1,2,2,1.4,1.4,5,20
317,32,BAŞAKŞEHİR,MALATYASPOR,3,1,1,1.2,0.5,17,14
318,32,KASIMPAŞA,BEŞİKTAŞ,1,0,1,0.4,2.6,15,1
319,32,FENERBAHÇE,DENİZLİSPOR,1,0,1,1.6,1,3,21
320,33,GÖZTEPE,RİZESPOR,2,0,1,1,1.75,10,13
321,33,KARAGÜMRÜK,HATAYSPOR,1,0,1,1,1,8,6
322,33,TRABZONSPOR,KAYSERİSPOR,1,1,0,1.6,1.4,4,18
323,33,GENÇLERBİRLİĞİ,ERZURUMSPOR,1,1,0,1.8,0.4,19,20
324,33,KONYASPOR,ANKARAGÜCÜ,1,1,0,1.6,2.4,11,17
325,33,ANTALYASPOR,SİVASSPOR,2,4,2,1,1.8,12,9
326,33,BEŞİKTAŞ,ALANYASPOR,3,0,1,2,1.4,1,5
327,33,DENİZLİSPOR,KASIMPAŞA,1,1,0,1,1,21,14
328,33,GAZİANTEP,BAŞAKŞEHİR,2,0,1,1.75,1.6,7,15
329,33,MALATYASPOR,FENERBAHÇE,1,1,0,0.25,1.6,16,2
330,34,HATAYSPOR,GÖZTEPE,2,3,2,0.75,1.4,7,10
331,34,RİZESPOR,TRABZONSPOR,0,0,0,1.75,1.2,13,4
332,34,GALATASARAY,KARAGÜMRÜK,1,1,0,1,1.4,3,8
333,34,SİVASSPOR,KONYASPOR,3,1,1,2.2,1.6,9,11
334,34,ANKARAGÜCÜ,GENÇLERBİRLİĞİ,2,1,1,2,2,16,19
335,34,KAYSERİSPOR,ANTALYASPOR,0,1,2,1,0.8,18,12
